Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Kimetsu no Yaiba: Mugen Ressha-hen,7.0,2021.0,8.38,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
Non Non Biyori Nonstop,12.0,2021.0,8.38,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
Kizumonogatari I: Tekketsu-hen,1.0,2016.0,8.37,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
Made in Abyss Movie 2: Hourou Suru Tasogare,1.0,2019.0,8.37,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,1.0,2012.0,8.37,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
Mushoku Tensei: Isekai Ittara Honki Dasu,11.0,2021.0,8.37,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,12.0,2020.0,8.37,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
Baccano!,13.0,2007.0,8.37,https://myanimelist.net/anime/2251/Baccano
Fumetsu no Anata e,20.0,2021.0,8.37,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Haikyuu!! To the Top,13.0,2020.0,8.36,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
Kage no Jitsuryokusha ni Naritakute!,20.0,2022.0,8.36,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute
Kaze no Tani no Nausicaä,1.0,1984.0,8.36,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä
Mahou Shoujo Madoka★Magica,12.0,2011.0,8.36,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
Usagi Drop,11.0,2011.0,8.36,https://myanimelist.net/anime/10162/Usagi_Drop
Yoru ni Kakeru,1.0,2019.0,8.36,https://myanimelist.net/anime/48653/Yoru_ni_Kakeru
Bakuman. 2nd Season,25.0,2011.0,8.35,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
Gintama: Shiroyasha Koutan,1.0,2008.0,8.35,https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan
Hellsing Ultimate,10.0,2006.0,8.35,https://myanimelist.net/anime/777/Hellsing_Ultimate
K-On! Movie,1.0,2011.0,8.35,https://myanimelist.net/anime/9617/K-On_Movie
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,13.0,2020.0,8.35,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
Spy x Family Part 2,13.0,2022.0,8.35,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2
Kiseijuu: Sei no Kakuritsu,24.0,2014.0,8.34,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
Neon Genesis Evangelion,26.0,1995.0,8.34,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
Psycho-Pass,22.0,2012.0,8.34,https://myanimelist.net/anime/13601/Psycho-Pass
Boku no Hero Academia 6th Season,25.0,2022.0,8.34,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season
